r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
30.0,167573423.10014856,167573610.04799536,167573796.98503664,167574170.82671493,167574544.62520257,167587439.14666584,167587625.14727795,167587811.13714424,167588183.08465075,167588554.9892046,167587439.14666584,167587644.22302493,167587847.75805956,167588250.88189164,167588649.64213386
34.67485547281647,169012219.60670733,169012403.5833383,169012587.55076823,169012955.4580345,169013323.3285216,169028681.84552678,169028864.6274068,169029047.40014377,169029412.9181972,169029778.39970154,169028681.84552678,169028890.42770848,169029096.93321162,169029504.62853628,169029906.4482736
40.07818673535703,168614134.30978584,168614313.08283964,168614491.8480063,168614849.35468623,168615206.82983685,168633392.58020592,168633569.8834369,168633747.17883846,168634101.74616113,168634456.28218627,168633392.58020592,168633604.7325745,168633814.08801353,168634225.6399828,168634629.28015077
46.323511088701835,166662848.35083908,166663020.09503055,166663191.83241865,166663535.28679082,166663878.7139647,166685382.9919758,166685552.96488857,166685722.9310574,166686062.84316966,166686402.72832188,166685382.9919758,166685600.00741094,166685813.2544783,166686230.10337737,166686636.2934109
53.542035066471605,163381960.25934145,163382123.50305414,163382286.74087027,163382613.19881657,163382939.63318798,163408390.99048272,163408552.138567,163408713.2808173,163409035.5478204,163409357.79149926,163408390.99048272,163408615.69209453,163408835.30916652,163409261.52912095,163409673.36754465
61.88541092167914,158948659.36394918,158948812.9767733,158948966.5844701,158949273.78448445,158949580.96399823,158979818.54342687,158979969.71942148,158980120.89035589,158980423.2170461,158980725.5235036,158979818.54342687,158980055.81647927,158980286.2068129,158980729.37031588,158981153.06576598
71.5289226528361,153508430.42329758,153508573.56863484,153508716.70950595,153509002.97785348,153509289.2283454,153545367.58572757,153545507.943983,153545648.29784447,153545928.9923878,153546209.669363,153545367.58572757,153545624.60742083,153545872.30500737,153546343.83416495,153546788.99079552
82.67516850377866,147189093.7953377,147189225.90844244,147189358.01765764,147189622.22442108,147189886.41563207,147233200.73246002,147233329.7086492,147233458.6810255,147233716.6143424,147233974.5324145,147233200.73246002,147233487.9660029,147233762.54338074,147234279.30665913,147234760.28145427
95.55831730197579,140109371.80513018,140109492.5741275,140109613.33974186,140109854.86082283,140110096.36837626,140162464.60629958,140162581.89976043,140162699.18992004,140162933.76033813,140163168.31755677,140162464.60629958,140162796.47512224,140163111.15569794,140163696.53666893,140164233.339117
110.44902805571837,132393905.78218143,132394015.13279082,132394124.48046583,132394343.16701376,132394561.84182799,132458384.94575396,132458490.50537255,132458596.06214389,132458807.16714486,132459018.26075926,132458384.94575396,132458781.17783637,132459154.05589283,132459840.08131091,132460460.16457568
127.6601361648362,124168108.89366594,124168206.97125359,124168305.04630564,124168501.18880367,124168697.32116224,124247144.64255579,124247238.64891312,124247332.6528254,124247520.65331717,124247708.64403348,124247144.64255579,124247631.06611355,124248085.81209679,124248914.34138453,124249653.56025776
147.55322570519223,115570094.40748544,115570181.55754536,115570268.70542401,115570442.99463835,115570617.2751302,115667831.31777927,115667914.1631026,115667997.00633892,115668162.68655145,115668328.3584182,115667831.31777927,115668440.39804462,115669006.70996115,115670030.13623798,115670933.24592163
170.5462258625136,106735889.96373656,106735966.69354348,106736043.42148362,106736196.87176381,106736350.31457885,106857726.76077479,106857799.00887814,106857871.25521106,106858015.74256596,106858160.22284105,106857726.76077479,106858497.35289244,106859210.66059576,106860491.22224519,106861611.1163114
197.12219110723245,97800268.46507005,97800335.41004832,97800402.35343754,97800536.23544936,97800670.11110692,97953232.2668273,97953294.61729008,97953356.9662607,97953481.6597278,97953606.34722959,97953232.2668273,97954207.37603077,97955106.67351013,97956712.34746388,97958106.25780648
227.8394495709398,88899817.35063618,88899875.24252471,88899933.13306828,88900048.91012168,88900164.68179753,89092817.80001482,89092871.0535495,89092924.30583625,89093030.80666703,89093137.30250782,89092817.80001482,89094037.97390507,89095159.60512818,89097152.7430849,89098872.1218366
263.3433328292801,80161772.9043798,80161822.53810821,80161872.17070515,80161971.4325053,80162070.68978077,80405684.11163668,80405729.1335861,80405774.15449932,80405864.19321758,80405954.22779272,80405684.11163668,80407173.3285812,80408537.81947859,80410951.30705312,80413020.83957554
304.379733519503,71703591.55720037,71703633.75854443,71703675.9589422,71703760.35689859,71703844.75107023,72010817.88149217,72010855.56593813,72010893.2495302,72010968.61415291,72011043.97536089,72010817.88149217,72012556.10028102,72014142.71120901,72016934.28685449,72019312.07655199
351.8107756214386,63627689.70201009,63627725.29977638,63627760.89675562,63627832.08835281,63627903.27680227,64010707.427696764,64010738.66587706,64010769.90335877,64010832.376227066,64010894.84630189,64010707.427696764,64012585.83755717,64014291.29977579,64017270.00923615,64019784.02044473
406.63292661509536,56016538.52227742,56016568.322854616,56016598.12278075,56016657.720679976,56016717.31597574,56484440.81575997,56484466.46732579,56484492.11832447,56484543.41862036,56484594.7166481,56484440.81575997,56486192.99693725,56487768.44288672,56490483.1997783,56492735.96439607
469.9979320288939,48934219.9760412,48934244.74478753,48934269.51299825,48934319.0478131,48934368.580486044,49485325.078601494,49485345.949947245,49485366.82083588,49485408.56124179,49485450.29981966,49485325.078601494,49486442.07755036,49487416.20536509,49489022.35946248,49490279.31267181
543.2370121874839,42423822.28753436,42423842.73523553,42423863.182498254,42423904.07570865,42423944.967165865,43033492.01848552,43033508.84689628,43033525.67494135,43033559.329934575,43033592.98346534,43033492.01848552,43033169.29838892,43032802.90492232,43031989.408397555,43031124.41816792
627.8888295028547,36509374.18798669,36509390.961974055,36509407.73560427,36509441.28179351,36509474.826554626,37113464.14944506,37113477.59337911,37113491.03702295,37113517.92343998,37113544.808696516,37113464.14944506,37110697.31953229,37108077.14348915,37103246.87703568,37098911.35334535
725.7318138669131,31196244.454890586,31196258.13421013,31196271.813240144,31196299.17043149,31196326.52646477,31676184.09466913,31676194.730631847,31676205.366366215,31676226.637150034,31676247.907020796,31676184.09466913,31670161.32957658,31664565.85850668,31654496.458779164,31645698.886993304
