M200,m200_msun,z,c200,weight
956993589275794.0,956993589275794.0,0.1,6.748409968579515,0.0025
266090997815757.25,266090997815757.25,0.1,2.3331625379091756,0.0025
242195713966589.28,242195713966589.28,0.1,5.776121256591329,0.0025
297739914920820.5,297739914920820.5,0.1,5.785630101313826,0.0025
364242908923948.44,364242908923948.44,0.1,2.2843114169714527,0.0025
257360626807337.0,257360626807337.0,0.1,2.95298364628897,0.0025
131808584392069.3,131808584392069.3,0.1,10.005767917031429,0.0025
269371257493444.12,269371257493444.12,0.1,7.714998208314551,0.0025
640425797781635.8,640425797781635.8,0.1,5.27848714167567,0.0025
827691800955311.2,827691800955311.2,0.1,3.055529536578574,0.0025
250735279958908.0,250735279958908.0,0.1,2.2211983479710944,0.0025
278233344309310.6,278233344309310.6,0.1,2.2262585004047164,0.0025
132622572626434.94,132622572626434.94,0.1,5.765187238972785,0.0025
100490596907844.17,100490596907844.17,0.1,2.9161204774068743,0.0025
466337369665141.56,466337369665141.56,0.1,1.986216295607566,0.0025
158130283880728.22,158130283880728.22,0.1,5.087075280376797,0.0025
118108942109908.5,118108942109908.5,0.1,2.499349125821377,0.0025
146811665814818.75,146811665814818.75,0.1,6.235354512451419,0.0025
152264522619525.7,152264522619525.7,0.1,4.243798618434306,0.0025
216324509215671.53,216324509215671.53,0.1,4.496974755676265,0.0025
494365113621657.9,494365113621657.9,0.1,1.6759455733243664,0.0025
110832089796393.27,110832089796393.27,0.1,3.1152349288266445,0.0025
140628465679907.67,140628465679907.67,0.1,3.213307069773565,0.0025
250910339184844.6,250910339184844.6,0.1,3.0587658754619715,0.0025
178637363614285.84,178637363614285.84,0.1,4.124812320575456,0.0025
285764695092095.06,285764695092095.06,0.1,3.536033780399696,0.0025
724045986468978.9,724045986468978.9,0.1,2.570883195957195,0.0025
456470765429676.2,456470765429676.2,0.1,5.4959399342790665,0.0025
261169487591521.4,261169487591521.4,0.1,4.447336774380084,0.0025
100692673364238.73,100692673364238.73,0.1,4.184318808694159,0.0025
308597393257332.0,308597393257332.0,0.1,3.377946830887642,0.0025
105033893937152.75,105033893937152.75,0.1,9.314746714814461,0.0025
151976296054513.78,151976296054513.78,0.1,2.063574831250039,0.0025
285557751602778.9,285557751602778.9,0.1,2.925044494521839,0.0025
242080377165970.84,242080377165970.84,0.1,8.790007825302549,0.0025
193794093102028.78,193794093102028.78,0.1,4.907522215993877,0.0025
425591510351878.4,425591510351878.4,0.1,6.477574639357723,0.0025
144975929293294.16,144975929293294.16,0.1,3.325850033372866,0.0025
271325468042374.03,271325468042374.03,0.1,5.569916809503679,0.0025
137357319499653.14,137357319499653.14,0.1,2.1400257096821313,0.0025
228811681576219.44,228811681576219.44,0.1,2.138630752668702,0.0025
408718555246611.1,408718555246611.1,0.1,3.9233439605901244,0.0025
197261453630595.66,197261453630595.66,0.1,2.2963149769206437,0.0025
306951081990037.4,306951081990037.4,0.1,3.2767009330568295,0.0025
479734306780217.2,479734306780217.2,0.1,3.386433934462548,0.0025
231465033019358.47,231465033019358.47,0.1,18.871488213977774,0.0025
105892197567381.56,105892197567381.56,0.1,4.311583005984118,0.0025
164340891833443.25,164340891833443.25,0.1,4.51503933524447,0.0025
316864223672524.94,316864223672524.94,0.1,3.159116721856513,0.0025
148131130138091.3,148131130138091.3,0.1,2.4956150830846533,0.0025
