r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
30.0,189983882.09848928,146204608.2041161
33.76006747802295,190276127.8039341,156575148.0399493
37.9914052040221,189833458.49749613,164797871.63443756
42.75308010908995,188715838.3804717,170931882.91664946
48.111562312539895,186963158.45870697,175118997.55298555
54.1416530048151,184604884.57664406,177535903.3063165
60.92752862714207,181658992.59242755,178361744.99432975
68.56391592404971,178134742.41911852,177761424.09560925
77.15741427178035,174042615.23380113,175887836.6108082
86.82798374150249,169389287.1223426,172871643.1309405
97.71061966979347,164195723.5449379,168840585.62951738
109.95723711238882,158476980.1309346,163899096.76484168
123.73879148704049,152265121.9091043,158154733.25007063
139.24766500838336,145598347.9685413,151708627.20567733
156.7003522280052,138526207.71334463,144663089.36751702
176.34048216824743,131108531.6873405,137122223.6795017
198.44221923690444,123416995.86652061,129195008.44191
223.3140903975505,115528314.9118548,120989359.15639478
251.30329202048756,107525658.29275765,112614590.40198769
282.80053653536544,99495617.09913981,104179019.23652944
318.2455065418346,91525127.23537615,95787395.05155472
358.13299251433085,83696908.12414536,87536710.37976596
403.01979977966977,76088102.41525194,79515276.26940195
453.5325211846986,68767751.6578491,71800541.89447922
510.37628395577696,61794798.67011781,64457435.733009696
574.3445928509875,55216073.05735478,57536679.48339805
646.330407009565,49066599.23264417,51075455.52580525
727.338605124698,43369481.273698315,45097612.520571716
818.5000129460303,38136405.73971583,39614473.28253059
921.0871889273553,33368451.37713169,34625922.885810845
1036.5321883776658,29057774.480129126,30122343.89598556
1166.4465540924261,25189059.184769254,26086274.24341381
1312.6438125222544,21741047.207241543,22494107.804583676
1477.1647895120216,18688049.816385508,19317741.44428425
1662.3060990028482,16001499.878814725,16526228.611801647
1870.6522023821744,13651211.643049898,14087111.199472014
2105.1114860111475,11606461.103600305,11967547.907010527
2368.9568605499157,9836902.995844364,10135259.752938276
2665.8714488230207,8313343.635389227,8559316.340989165
3000.0,7008355.428901125,7210753.568669553
