r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
50.0,222302175.55331752,175313631.74813238,144154494.60608277,105830238.31701793,83523189.33691846,222323035.98943383,175612958.0866652,144584423.19912812,106339335.30033585,84022383.84239314,222323035.98943383,175612985.87996197,144584476.1053936,106339431.83047126,84022516.9873072
56.78236176667797,238174855.01609966,191348382.91516012,159743281.29943755,120097323.64075635,96521040.91252145,238199955.21509477,191688033.05972493,160241609.89753282,120711045.07965341,97144158.28315963,238199955.21509477,191688070.13479578,160241680.47950217,120711173.87684298,97144335.94739786
64.4847321560379,239800186.58201975,196799625.46649653,167142904.820614,129045728.20378505,105806541.17543875,239829139.41825375,197165763.3375129,167692411.07294288,129750757.04286076,106547758.2591995,239829139.41825375,197165811.57702333,167692502.91366658,129750924.64385308,106547989.4595994
73.23190779422953,239545400.67766115,200445974.57725686,172933254.91536817,136797042.7867897,114224241.02878271,239578720.42823628,200836767.9205685,173531287.4117384,137592090.35760427,115085312.54824646,239578720.42823628,200836830.7530218,173531407.043881,137592308.69845313,115085613.76443665
83.16561362471892,237670553.41978315,202425169.50706965,177158796.25226766,143280115.68729287,121644308.65554528,237708918.4344513,202838839.5778259,177802330.68099907,144162504.7764037,122624801.5155072,237708918.4344513,202838921.4441879,177802486.5787399,144162789.3755791,122625194.20927125
94.44679918773112,234368201.92121753,202840758.4012582,179847745.30546907,148420535.16110393,127934289.29502031,234412497.91151643,203275560.14240927,180533340.8357748,149386066.49082583,129031288.74475612,234412497.91151643,203275666.96529415,180533544.28359458,149386437.96952105,129031801.39442608
107.25824638365073,229822898.99437076,201820204.31330043,181070889.47057277,152202040.06540218,133022327.73393539,229874235.92368513,202274509.5620513,181794880.35125542,153245347.1335687,134230845.0111481,229874235.92368513,202274649.07690403,181795146.11578616,153245832.5548518,134231515.071487
121.80753097231872,224160571.66515288,199450448.37584037,180871006.79117405,154593402.5437498,136826012.699585,224220370.00110602,199922761.8663384,181629482.21305287,155707857.5811591,138138776.3996086,224220370.00110602,199922944.17912522,181629829.58602867,155708492.30475843,138139652.81544256
138.33038579152068,217497137.8578945,195825857.45749065,179310648.03387645,155596630.57090044,139301113.80613714,217567197.86434525,196314913.46117476,180099609.15263677,156774610.2914671,140708880.27564165,217567197.86434525,196315151.93738517,180100063.65097722,156775441.10011023,140710027.8219144
157.09452018676518,209947513.44663358,191052325.20815262,176473756.87267765,155247255.5467409,140442452.20503974,210030125.7161714,191557249.21679288,177289355.62318507,156480527.4204084,141934484.19069427,210030125.7161714,191557561.00727725,177289950.0221204,156481614.4962461,141935986.29336113
