r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_0p050,rho_sidm_tier1_sigma_0p100,rho_sidm_tier1_sigma_0p200,rho_sidm_tier1_sigma_0p300,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_0p050,rho_sidm_tier2_sigma_0p100,rho_sidm_tier2_sigma_0p200,rho_sidm_tier2_sigma_0p300,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_0p050,rho_sidm_tier3_sigma_0p100,rho_sidm_tier3_sigma_0p200,rho_sidm_tier3_sigma_0p300
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0706246336182335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.143743186673322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.219443725238516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.297817425204145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3789586820924624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4629652247503104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.549938233056531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6399824597859025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.733206356776374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.829722205551553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
