r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
5.0,40223473.604076706,12410336.65218481
5.16022495246393,38918107.51633475,12389007.482845373
5.325584312006275,37653397.45088388,12366763.045494344
5.496242610653047,36428084.64206358,12343541.444723396
5.672369652857469,35240949.500946194,12319274.621704185
5.854140684454854,34090810.400471166,12293887.67710087
6.041736567031642,32976522.49827482,12267298.130273063
6.2353439578820895,31896976.59604091,12239415.112724908
6.435155495731672,30851098.03423267,12210138.49503157
6.641369992411992,29837845.621102832,12179357.948259152
6.85419263067791,28856210.59491186,12146951.943311969
7.073835168363709,27905215.618317287,12112786.694837177
7.300516149081458,26983913.803929195,12076715.060452316
7.534461119671204,26091387.770057652,12038575.411309818
7.775902854619335,25226748.725707885,11998190.49655265
8.02508158766844,24389135.583907824,11955366.332212644
8.282245250849106,23577714.102480736,11909891.154692857
8.547649721171487,22791676.051402956,11861534.490224516
8.821559075222094,22030238.405913077,11810046.404557126
9.104245851919137,21292642.564564213,11755157.011416985
9.395991323687872,20578153.591435976,11696576.333505461
9.697085776325748,19886059.481746633,11633994.625232162
10.00782879783584,19215670.450129103,11567083.280806575
10.32852957651592,18566318.24085705,11495496.463071352
10.659507208599829,17937355.459328946,11418873.595334487
11.001091015757195,17328154.924139265,11336842.857691197
11.35362087276741,16738109.039086565,11249025.817726282
11.717447545693942,16166629.184487684,11155043.299657384
12.092933040895424,15613145.12718703,11054522.55273151
12.480450965220811,15077104.448668165,10947105.71664671
12.880386897746996,14557971.990693487,10832459.498158991
13.293138773428707,14055229.317915022,10710285.870549642
13.719117279042509,13568374.19691655,10580333.491273722
14.158746261818845,13096920.091163993,10442409.411737552
14.612463151168603,12640395.671356913,10296390.53943985
15.080719393923989,12198344.340689823,10142234.22231218
15.563980903526659,11770323.774546938,9979987.274812255
16.062728523610076,11355905.474169225,9809792.770378927
16.57745850643736,10954674.333846625,9631893.995637598
17.10868300667069,10566228.22120253,9446635.100710308
17.656930590963547,10190177.570151294,9254458.179591576
18.22274676388276,9826144.98612278,9055896.756968578
18.806694510683833,9473764.863160962,8851565.91691484
19.40935485747943,9132683.012516292,8642149.554049732
20.03132744935847,8802556.30236401,8428385.429431578
20.67323114703105,8483052.308292495,8211048.848258494
21.33570464259282,8173848.974217735,7990935.831241502
22.019407095021588,7874634.283391555,7768846.625168491
22.725018786038344,7585105.939182557,7545570.300858812
23.45324179698533,7304971.055319889,7321871.0369884735
24.204800707394742,7033945.855300799,7098476.509025995
24.98044331594299,6771755.380673727,6876068.616710424
25.780941384507965,6518133.207919143,6655276.610690413
26.607091406069603,6272821.173660701,6436672.533172487
27.45971539721778,6035569.107949402,6220768.776517721
28.339661716056224,5806134.575373425,6008017.489760236
29.247805906316025,5584282.623756243,5798811.523587489
30.185051568518777,5369785.5402151,5593486.594080156
31.152331259056222,5162422.6143615665,5392324.357694649
32.1506074180808,4961979.908435202,5195556.11761927
33.180873327130506,4768250.03417055,5003366.918425159
34.24415409744074,4581031.936206684,4815899.826661939
35.341507689926715,4400130.681857428,4633260.235796198
36.474025967851134,4225357.257069026,4455520.071980042
37.642835783224555,4056528.368400628,4282721.810957919
38.8491000980195,3893466.2508711596,4114882.245208425
40.09401914131383,3735998.481524376,3951995.9640250434
41.37883160351482,3583957.798571747,3794038.527925715
