r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
1.0,2501002.834732507,2353297.454949351,2030759.1728372348,1704001.8066770055,1722993.7045082937,2501199.1790143,2356237.258234696,2038502.8484876556,1715328.1439297702,1731967.519153832,2501199.1790143,2356237.3867618553,2038502.9824067897,1715328.2803375006,1731967.6552211973
1.2173570475023514,6838513.072935844,6543196.71583828,5683630.2172243185,4662327.898367645,4465933.9124312075,6839058.2606832795,6548795.711967242,5702058.001745802,4693254.38185637,4494928.703177319,6839058.2606832795,6548796.079939095,5702058.385318299,4693254.772708667,4494929.093329542
1.4819581811036422,10747251.199210117,10649572.169343263,9480330.495083442,7833991.272119887,7267218.159940236,10748176.07076828,10650978.864762824,9500119.821967943,7877677.257110347,7314022.726657315,10748176.07076828,10650979.589586547,9500120.577973347,7877678.028111509,7314023.496982107
1.804072235870285,14089229.186176486,14409588.57941799,13160313.651439926,11077670.175608747,10069510.053288335,14090562.813929845,14401878.925669374,13172922.645225726,11124394.633178351,10127896.808781013,14090562.813929845,14401880.188863045,13172923.963503415,11124395.978771593,10127898.154230164
2.196200050540016,16921767.639923885,17725049.27812562,16582489.270693194,14327623.89870225,12927978.75750182,16923527.19964968,17705469.260371022,16581456.480122607,14366622.691388337,12988589.163834676,16923527.19964968,17705471.319858752,16581458.63022296,14366624.887330463,12988591.360702096
2.6735596092499083,17805192.251955535,18975280.0234252,18146488.626981243,16196103.76935973,14701004.455142668,17807266.47273116,18943931.19419161,18127828.860948708,16214364.166194744,14747538.266148575,17807266.47273116,18943934.35951212,18127832.16595073,16214367.542326443,14747541.644396756
3.2546766322380094,17235333.623807684,18560659.976277694,18060677.155520212,16641699.7439453,15353626.504779581,17237652.085306276,18520245.76499731,18026216.014172394,16634918.706712035,15375091.845019398,17237652.085306276,18520250.540652707,18026221.000574436,16634923.80050247,15375096.942265976
3.962103535596159,16131733.214362085,17465917.17925993,17206296.4522498,16264623.138177728,15282057.985837191,16134284.540154992,17419389.20236942,17160193.253151946,16236071.537520975,15277073.34472531,16134284.540154992,17419396.382172216,17160200.749183558,16236079.19402748,15277081.00572551
4.823294661991968,14711420.410184754,15960123.033494705,15855395.290428253,15274066.961371692,14589270.52808328,14714218.407804634,15910256.063602123,15801997.948945122,15229578.76905167,14561824.878323743,14714218.407804634,15910266.828272747,15802009.185839666,15229590.24361026,14561836.35726737
5.871671748956393,13193628.14549703,14306812.034391373,14292308.314523537,13951860.082528112,13496347.165514426,13196718.55422503,14256039.6785153,14235512.101181801,13897714.794990437,13453241.258974735,13196718.55422503,14256055.770434303,14235528.895172205,13897731.938683653,13453258.40486197
