r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
3.0,31543563.68929171,33839143.08485951
3.376006747802295,29257113.656619806,31584739.292668264
3.7991405204022097,26974451.820471246,29238766.64722713
4.275308010908995,24721711.090955812,26858105.990665957
4.811156231253991,22521903.116866577,24490008.830162052
5.41416530048151,20397022.642309353,22175199.69984647
6.092752862714207,18365059.114754744,19945677.216764536
6.856391592404972,16441128.212001929,17826663.660376016
7.7157414271780365,14636782.277267007,15836639.492783802
8.682798374150252,12959980.719893318,13987968.963911066
9.771061966979348,11415248.144563766,12287632.023823202
10.995723711238883,10003932.42953749,10737977.783497091
12.373879148704054,8724691.44342168,9337615.58496821
13.924766500838338,7573826.710229172,8082084.759207368
15.670035222800529,6545751.35600882,6964586.45559331
17.634048216824734,5633462.265256258,5976656.336713117
19.844221923690444,4828991.112009817,5108762.558032304
22.331409039755062,4123769.786559036,4350776.999695397
25.130329202048756,3508964.9241743125,3692379.5237677023
28.28005365353656,2975747.688324477,3123371.0027751047
31.824550654183444,2515528.004541656,2633928.6866094265
35.81329925143309,2120109.0511136116,2214769.4384131823
40.301979977967,1781802.6112644295,1857263.2183819604
45.35325211846986,1493500.7998898155,1553496.791751911
51.03762839557767,1248717.8905874654,1296303.3987635481
57.43445928509872,1041600.5462103246,1079259.4588027839
64.63304070095649,866916.8938954417,896659.7167200602
72.73386051246985,720030.8832389319,743478.0537579432
81.85000129460303,596866.28807833,615318.8930692981
92.10871889273548,493864.5556100282,508363.6551947973
103.65321883776659,407938.2719465433,419314.29792345373
116.6446554092426,336424.2262194248,345337.7483426512
131.26438125222558,277037.26065755996,284012.40922198724
147.71647895120216,227826.66824154338,233278.33885694924
166.23060990028483,187135.5626767432,191391.46764389263
187.06522023821745,153564.73739306704,156883.17576262154
210.51114860111474,125942.86130992943,128526.94830205591
236.89568605499184,103309.7795164482,105318.68609138274
266.587144882302,84951.19288145214,86508.49080301373
300.0,71960.69625872934,73146.09346267459
