r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
1.0,3580734.9103739345,245908.91114161865,226653.62748308745,215231.87735438708,211448.84754241543,3581073.34729733,252938.03008186695,233085.6579597221,221298.19860764442,217392.4085630762,3581073.34729733,252938.29980449783,233085.93799030143,221298.48522927077,217392.69747710324
1.2173570475023514,6430041.325465871,458398.1288657038,423291.8012265484,402443.5845370386,395534.1293046782,6430671.144806766,472163.1027513872,435981.90887755906,414471.89248483174,407339.20992055186,6430671.144806766,472163.6400607171,435982.46677001216,414472.4638756139,407339.78656516335
1.4819581811036422,9122923.093844585,729894.903151217,676594.6654526205,644852.8208092207,634317.6013254948,9123885.529570805,754069.7823021553,699168.0609664638,666432.2840456412,655571.4766560129,9123885.529570805,754070.7260228073,699169.040861373,666433.287841871,655572.487748012
1.804072235870285,12184287.520668596,1089448.923066346,1013509.1689264779,968165.3651001168,953095.1247202412,12185667.629636824,1128605.0675439446,1050445.198179647,1003721.9905057389,988186.3596691187,12185667.629636824,1128606.6567282828,1050446.8477796311,1003723.6786267372,988188.0610440416
2.196200050540016,14310400.666819798,1481577.1135303779,1384313.129513961,1326043.4593509661,1306635.367623122,14312219.284936115,1539851.7517531873,1439867.1355001477,1379900.6164964545,1359939.333021781,14312219.284936115,1539854.3069105963,1439869.789048062,1379903.3338639159,1359942.0687164476
2.6735596092499083,15763913.210245347,1913528.841035935,1796258.0845327568,1725724.480618942,1702192.4447431855,15766112.54197633,1995526.1926559058,1875183.269747813,1802710.9805990532,1778517.0434532284,15766112.54197633,1995530.1380492253,1875187.3652393303,1802715.1715827915,1778521.2672463458
3.2546766322380094,16605207.37116757,2360063.6545068496,2225495.578873695,2144244.980654525,2117082.5832517254,16607782.732017774,2469010.9960759487,2331237.209900751,2247942.2337617716,2220075.9517196994,16607782.732017774,2469017.028421091,2331243.4731249674,2247948.644314793,2220082.413238996
3.962103535596159,16620608.14930639,2770694.861083658,2624270.2729232074,2535515.4653226836,2505783.5139995925,16623576.176822843,2907259.403583839,2757793.4423036487,2667070.1819573743,2636656.6863068803,16623576.176822843,2907268.5735559002,2757802.965272659,2667079.9296656586,2636666.51126311
4.823294661991968,16145538.582315253,3134351.1731460383,2981127.3408185216,2887889.3964252616,2856595.1531202346,16148939.256763676,3297734.1190232537,3141896.0586509663,3046940.452123509,3015043.8680985174,16148939.256763676,3297747.9605521536,3141910.4375088527,3046955.1731871096,3015058.706753444
5.871671748956393,15101865.661010446,3417825.2716183304,3264041.138238698,3170098.9219143665,3138503.7256729444,15105714.020683352,3605100.9054270196,3449409.744509465,3354164.2049767314,3322106.216511687,15105714.020683352,3605121.576191036,3449431.2257400467,3354186.2025984917,3322128.3915540515
7.147920984212522,13703843.144810596,3606882.5543163605,3458085.8666843753,3366833.7201934233,3336082.158409766,13708213.674378151,3813337.7787853335,3663528.678489578,3571529.6339991232,3540499.675626252,13708213.674378151,3813368.181134747,3663560.28522501,3571562.0083551877,3540532.3138248306
