r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_3p000,rho_sidm_sigma_10p000
0.1,36505.544476866795,5799.70819799533,3428.054230102915,1889.9666169715715,1395.260915584086
0.10392891699183733,34949.886150992344,5813.823571268228,3461.033894676664,1919.8978873255471,1420.902119849588
0.10801219787096211,149441.31834715453,22175.714135862436,12987.902569448024,7106.506079178826,5230.621689510039
0.11225590746637129,142496.69361415764,22165.01158388614,13073.332790304106,7196.332546972346,5309.63935779624
0.11666634888915871,135833.31630407184,22131.945880097468,13147.117540620475,7281.333416620121,5385.738067810725
0.12125007289442108,129440.89670455872,22076.30555178318,13208.817081655776,7361.168475356339,5458.652689195753
0.12601388761098514,123309.52692527461,21997.957836345893,13258.02183136766,7435.501225131731,5528.116623315264
0.1309648686534079,349011.92352422647,55363.3256265018,32798.572364577514,18128.9889352836,13399.80796134228
0.13611036963126907,808751.1622199722,122939.34577316724,72321.09066895777,39729.71601307568,29291.678238753557
0.14145803307136456,913593.562925106,143426.06685074803,84772.6461438588,46757.62256449949,34529.28593616624
0.14701580176902426,1252124.0713026458,197301.2640068797,116690.39549548432,64398.63050059966,47567.823670940445
0.15279193058541335,1191114.920234943,196497.6024659378,117041.04552766838,64987.40719197583,48122.34339708767
0.1587949987083399,1705303.5739842535,277216.34802537627,164821.17054848533,91384.06542456112,67630.33482699504
0.16503392239477974,1675870.0600427159,283476.40567504696,169608.40095438407,94554.03797649145,70133.45309494295
0.1715179682140438,2035750.4910170957,345016.73440648656,206600.51865812385,115273.60532836072,85534.1074355856
0.17825676681125951,2317168.2590527935,397876.76625623286,238829.863367795,133547.60389134093,99184.90269290026
0.18526032721160693,2851432.678135098,489851.59185542096,294160.23729606374,164561.8748996985,122245.23860845956
0.19253905168655716,3643390.8523397907,620521.7370538828,372275.88910632464,208115.5269110935,154559.8565049348
0.2001037512041927,3742757.488660593,656772.8113136159,395967.9664252759,222322.21779605237,165407.81291908666
0.20796566148655812,4720938.299242349,819789.2451507404,493664.81708860456,276928.0078959552,205967.17400264126
0.2161364596978904,5212170.554898235,918757.5732717401,554731.9643814781,311931.40510531556,232236.0964214504
0.22462828178851643,5641437.443806889,1010511.8348123555,611936.069231192,345024.03184353927,257166.81043983737
0.23345374052017764,6647935.522537027,1187702.8085563383,719304.4992545368,405655.08398805565,302401.1442576455
0.24262594419955466,7101899.000347944,1292410.4119127751,785276.6487037963,444170.6674759428,331527.06869297003
0.2521585161478167,8181047.218028838,1489478.959869485,905504.6577566564,512491.66189123737,382636.38635599444
0.26206561493511316,8412922.439878695,1569705.3236511913,958394.6662297797,544537.5355949787,407229.5833123342
0.2723619554100618,8751625.645738373,1665120.3632551148,1020413.2756942202,581747.7853955755,435688.9573946987
0.28306283055546805,9061179.477293883,1758047.2027716846,1081418.7513910905,618674.7938104087,464036.1961161841
0.2941841342027374,10419256.212837344,2002677.0991487831,1231147.5842877212,704149.2012064246,528131.577996902
0.30574238463871833,10887683.89991842,2126550.246747009,1311475.0520780315,752343.9901984979,565013.8461221915
0.31775474914003754,11628024.505916601,2291557.696077698,1416269.994621143,814179.7133491961,612031.5224198243
0.3302390694713705,12699647.854208818,2508569.00098812,1552072.2012554018,893318.8802339801,671906.6094659432
0.34321388838551664,13987942.22981783,2760175.9960649796,1708691.889949031,984197.5020783041,740549.5644299755
0.35669847716464076,15313204.242876424,3025585.3845075597,1874462.799425687,1080674.630817136,813514.0306335888
