r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
0.1,563238197.0641061,129502751.09189433
0.10372352460387815,541564288.9601161,129116726.35564326
0.1075856955625132,520674386.94819796,128717311.3722392
0.11159167540703682,500540533.4982702,128304012.6851991
0.11574681889669769,481135779.35067004,127876309.17914465
0.12005668017652252,462434147.3438657,127433649.04161026
0.12452702020149467,444410597.53305763,126975446.29780497
0.12916381443717365,427040993.5526769,126501076.86315201
0.13397326084704933,410302070.1774444,126009874.0534902
0.13896178817730712,394171402.03825974,125501123.4881721
0.14413606455007819,378627373.45072734,124974057.31727828
0.14950300637666206,363649149.31562227,124427847.70125805
0.15506978760263462,349216647.0520348,123861599.47014697
0.16084384929720033,335310509.5253211,123274341.89096247
0.16683290959960628,321912078.9333279,122665019.47707917
0.17304497403591348,309003371.6156552,122032481.78380805
0.17948834621991527,296567053.75197524,121375472.15195447
0.18617163895250782,284586417.9166324,120692615.38819149
0.19310378573434772,273045360.4579259,119982404.41063553
0.2002940527071863,261928359.67160457,119243185.94365694
0.20775205103984307,251220454.7392101,118473145.42197742
0.2154877497753732,240907225.40296203,117670291.36540873
0.2235114891566026,230974772.34991747,116832439.61756171
0.23183399444784317,221409698.27913713,115957198.01003721
0.24046639027126218,212199089.62656713,115041952.22308299
0.2494202154770703,203330498.9232936,114083853.8681241
0.2587074385674049,194791927.76374766,113079812.1177074
0.2683404736945253,186571810.36134198,112026490.55000933
0.2783321972547041,178658997.66989422,110920311.24615172
0.2886959650999977,171042742.05004928,109757468.55594896
0.29944563039089966,163712682.4607516,108533955.29315087
0.3105955621137428,156658830.15663514,107245604.3778303
0.32216066428760176,149871554.8729995,105888149.0333069
0.3341563958863679,143341571.4808294,104457304.46937823
0.3465987915026294,137059927.0950792,102948873.42932302
0.35950448278097413,131017988.62020344,101358876.93045025
0.3728907206493686,125207430.71765004,99683709.89400561
0.38677539837832653,119620224.18076523,97920319.10225873
0.4011770754986913,114248624.70326534,96066398.0962998
0.4161150026100039,109085162.02813347,94120590.4299961
0.4316091471126156,104122629.46448295,92082689.47565408
0.44768021989794266,99354073.76059818,89953820.23908566
0.46434970303253836,94772785.32202074,87736586.9863504
0.4816398784729901,90372288.76418485,85435170.49882227
0.49957385785002084,86146333.78973095,83055360.88117151
0.5181756133616097,82088886.38122737,80604516.15235527
0.5374700098164258,78194120.30061433,78091443.02816007
0.5574828378704069,74456408.88724644,75526203.5928574
0.5782408485009096,70870317.14694725,72919858.87480642
0.5997717887645148,67430594.12500228,70284166.5119627
0.6221044388862818,64132165.55650037,67631253.7267626
0.6452686507300306,60970126.78788837,64973288.152000256
0.6692953877010759,57939735.96402291,62322167.62246774
0.6942167661347474,55036407.47539146,59689246.33893633
0.720066098226022,52255705.66051982,57085109.636417285
0.7468779365576533,49593338.75889219,54519403.88754548
0.7746881202863152,47045153.10997448,52000722.6971826
0.8035338230484973,44607127.59415118,49536546.11509292
0.8334536026501909,42275368.31155949,47133226.436975315
0.8644874526067796,40046103.49493031,44796012.33550554
0.8966768556020328,37915678.65262033,42529102.41550802
0.9300648389376556,35880551.93804617,40335719.55892051
0.9646960320475189,33937289.74170623,38218198.31753481
1.0006167261534444,32082562.50190142,36178078.84712216
1.0378749361422883,30313140.730142668,34216202.23110626
1.0765204647470314,28625891.24706179,32332803.355316754
1.1166049691176705,27017773.62442695,30527598.66840693
1.1581820298708931,25485836.8286064,28799867.14607852
1.2013072227108317,24027216.06052893,27148523.558511514
1.2460381927166346,22639129.786861137,25572183.730050407
1.2924347313961575,21318876.956764862,24069221.90197309
1.3405588566087603,20063834.39822081,22637820.59216677
1.390474895464055,18871454.387509964,21276013.5192092
1.4422495703074083,17739262.385043588,19981722.2495991
1.495952087907132,16664854.930330453,18752787.258636504
1.5516542319625826,15645897.688475018,17586994.08632045
1.6094304590568265,14680123.640221082,16482095.234071365
1.669357998182117,13765331.40719987,15435828.396930601
1.7315169539712356,12899383.703716544,14445931.566962745
1.7959904137726765,12080205.906124363,13510155.482324934
1.8628645587127948,11305784.73059648,12626273.836471565
1.9322287788933925,10574167.009919297,11792091.60547755
2.0041757928787027,9883458.559804333,11005451.799752029
2.078801771631511,9231823.125151956,10264240.900056897
2.1562064670640657,8617481.39670487,9566393.196863553
2.236493345375609,8038710.08860432,8909894.216502478
2.3197697253547664,7493841.067509012,8292783.386935362
2.4061469218316685,6981260.524156692,7713156.069865332
2.4957403944715284,6499408.178539961,7169165.06381685
2.5886699021086006,6046776.5102285715,6659021.664279636
2.685059662826804,5621910.005797545,6180996.3515607165
2.7850385200009686,5223404.41580886,5733419.1641964875
2.888740114520688,4849906.0143379355,5314679.805255214
2.9963030634269643,4500110.854629202,4923227.520265088
3.107871145200423,4172764.015098877,4557570.778528853
3.22359349194879,3866658.830570057,4216276.78396837
3.343624788750519,3580636.1043166216,3897970.8371525863
3.468125480421014,3313583.2971990863,3601335.566602703
3.597261985977857,3064433.6908880114,3325110.0446706857
3.7312069210916996,2832165.5228802795,3068088.801108995
3.8701393288201547,2615801.091711182,2829120.7457690896
4.014244918933137,2414405.831442407,2607108.01058174
4.163716316149542,2227087.3551550787,2401004.7199987443
4.318753317617061,2052994.4677904826,2209815.6983413408
4.479563159979335,1891316.1492528059,2032595.1219470974
4.6463607963874285,1741280.5092127402,1868445.1235857997
4.819369183825865,1602153.7155236974,1716514.356286751
4.998819581137341,1473238.8985801062,1575996.5234531388
5.184951858144471,1353875.034307697,1446128.8819092575
5.378014816281719,1243435.8087773563,1326190.7243138168
5.57826652116618,1141328.4676766,1215501.8471628795
5.785974647551702,1046992.6540569573,1113421.0103889117
