label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
cluster1_z0p5,400,105,HMF,tier1,0.05,6.099819539478675e-09,7.810134147041698e-05,1.5249548848696687e-09,3.905067073520849e-05,1.3016890245069498e-06,0.000130168902450695,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier2,0.05,5.475809494280235e-09,7.399871278799541e-05,1.3689523735700587e-09,3.6999356393997704e-05,1.2333118797999234e-06,0.00012333118797999235,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier3,0.05,0.0007240492903486829,0.026908164009249738,0.00018101232258717072,0.013454082004624869,0.0004484694001541623,0.04484694001541623,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier1,0.1,2.4398464991968087e-08,0.00015620007999987736,6.099616247992022e-09,7.810003999993868e-05,2.603334666664623e-06,0.0002603334666664623,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier2,0.1,2.190248252025406e-08,0.00014799487329044227,5.475620630063515e-09,7.399743664522114e-05,2.4665812215073712e-06,0.00024665812215073714,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier3,0.1,0.00261937273300378,0.051179807864076436,0.000654843183250945,0.025589903932038218,0.0008529967977346072,0.08529967977346072,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier1,0.2,9.758735594825593e-08,0.00031238975006913386,2.4396838987063982e-08,0.00015619487503456693,5.206495834485565e-06,0.0005206495834485565,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier2,0.2,8.760388777071191e-08,0.0002959795394460771,2.1900971942677978e-08,0.00014798976972303854,4.9329923241012845e-06,0.0004932992324101285,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier3,0.2,0.008686116119856063,0.09319933540458357,0.002171529029964016,0.046599667702291785,0.0015533222567430595,0.15533222567430596,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier1,0.3,2.1955692039919158e-07,0.00046856901348594484,5.4889230099797895e-08,0.00023428450674297242,7.809483558099081e-06,0.0007809483558099081,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier2,0.3,1.970951556719921e-07,0.0004439540017524249,4.927378891799802e-08,0.00022197700087621245,7.3992333625404146e-06,0.0007399233362540415,,58521684242939.55,55120785033979.484,0.14211199330574575
cluster1_z0p5,400,105,HMF,tier3,0.3,0.016455529634070373,0.12827910833050865,0.004113882408517593,0.06413955416525433,0.002137985138841811,0.2137985138841811,,58521684242939.55,55120785033979.484,0.14211199330574575
