r_projected_kpc,delta_sigma_local_msun_kpc2,delta_sigma_analytic_msun_kpc2,frac_diff_local_vs_analytic
30.0,203684610.75485218,200527432.96589875,0.015744368450028023
33.00454318757417,201624678.27370465,199059435.2323841,0.012886819649246428
36.30999570068163,199481857.93140197,197405464.30056214,0.010518420238248227
39.94649404145934,197222300.73131478,195548440.49003816,0.0085598240368574
43.94719292611731,194814849.89241338,193471114.50063074,0.006945405753468581
48.34856756342311,192229415.28158903,191156402.72932303,0.005613270269504866
53.19074620681153,189437929.48399603,188587786.4836355,0.004507943044521179
58.51787601206696,186419162.00033748,185749772.6850031,0.00360371539441684
64.3785255361792,183148883.21592242,182628409.61606777,0.002849904902248346
70.8261275470391,179613110.7131546,179211846.5807544,0.0022390491480115404
77.91946618116297,175795106.9185071,175490921.24226958,0.0017333413836126965
85.72321289096402,171686902.2296561,171459753.22167325,0.0013247949079291388
94.30851606791458,167281338.49004453,167116317.73191875,0.0009874604728337122
103.75364971731733,162579388.3526923,162462969.12756038,0.0007165892988236777
114.14472709878811,157585462.6517138,157506881.84991062,0.0004989039264839956
125.57648583886069,152310089.09597266,152260375.89535064,0.00032650123401900544
138.15315167374916,146769128.6359465,146741096.0784223,0.00019103412931587016
151.98938869719134,140984400.4951405,140972019.25421932,8.782764825721046e-05
167.21134477698183,134982781.23681223,134981271.28937992,1.118634769015081e-05
183.9578016714749,128796090.96818659,128801745.58938909,-4.390174354096388e-05
202.3814403319135,122460710.57537553,122470526.73586547,-8.015120659288222e-05
222.65023292660354,116016540.19200143,116028135.30951461,-9.993367110705531e-05
244.94897427831788,109505776.74481113,109517622.13198796,-0.00010815964541810441
269.48096667735797,102972733.10514788,102983550.76011157,-0.00010504255178467314
296.46987343106997,96461875.77250023,96470915.02232136,-9.369922342949977e-05
326.16175804901326,90017295.10214922,90024042.87103485,-7.495518608613416e-05
358.82732765545927,83681385.29313378,83685538.38476656,-4.962735154656617e-05
394.7644010828816,77493798.27798614,77495310.37716857,-1.9512137896748882e-05
434.30062414856025,71490735.3166902,71489729.17853463,1.4073883999099479e-05
477.7964568700531,65704265.43651775,65700943.53416334,5.056095355282508e-05
525.6484598545863,60161742.82599474,60156378.24272626,8.917729798874063e-05
578.2929098250848,54885541.646750465,54878421.26271462,0.00012974833954793041
636.2097772463318,49892837.67519167,49884297.62251969,0.00017119721192848658
699.9271023161168,45195743.642372936,45186117.48301244,0.0002130335575769582
770.0258092181975,40801481.49166297,40791077.76787997,0.0002550490046426823
847.1450025296252,36712704.22911994,36701791.2513774,0.00029734182911678175
931.9877940708893,32927884.56852992,32916713.946325425,0.0003393601871288787
1025.3277133234874,29441849.681698807,29430640.896593772,0.00038085426492817653
1128.0157598600583,26246306.738936573,26235241.700563364,0.0004217623950066862
1240.9881620855201,23330393.483144067,23319609.82312952,0.00046242883548819336
1365.2749130273282,20681198.348558713,20670803.505341507,0.0005028756242841936
1502.0091609974013,18284286.659360066,18274360.384484548,0.0005431804269300233
1652.4375407423595,16124178.88799707,16114772.38516145,0.0005837192490711907
1817.9315392733356,14184774.303568572,14175911.709076036,0.0006251869138591548
2000.0,12449720.77618588,12441402.604801435,0.0006685879115617688
