benchmark,m200_msun,sigma_over_m_cm2_g,window,window_r_min_kpc,window_r_max_kpc,n_bins,target_sigma,required_uniform_fraction,required_uniform_percent,max_abs_ratio_shift_percent
dwarf,10000000000.0,0.2,full,3.0,300.0,40,2.0,0.1264560999467982,12.645609994679821,5.804542758343678
dwarf,10000000000.0,0.2,full,3.0,300.0,40,3.0,0.0843040666311988,8.43040666311988,5.804542758343678
dwarf,10000000000.0,0.2,full,3.0,300.0,40,5.0,0.050582439978719286,5.058243997871928,5.804542758343678
dwarf,10000000000.0,0.2,inner,3.0,30.0,20,2.0,0.10804858580425367,10.804858580425366,5.804542758343678
dwarf,10000000000.0,0.2,inner,3.0,30.0,20,3.0,0.07203239053616911,7.203239053616911,5.804542758343678
dwarf,10000000000.0,0.2,inner,3.0,30.0,20,5.0,0.043219434321701465,4.321943432170147,5.804542758343678
dwarf,10000000000.0,0.2,outer,30.0,300.0,20,2.0,0.06570120485543206,6.570120485543206,3.5422157560010215
dwarf,10000000000.0,0.2,outer,30.0,300.0,20,3.0,0.043800803236954705,4.380080323695471,3.5422157560010215
dwarf,10000000000.0,0.2,outer,30.0,300.0,20,5.0,0.026280481942172824,2.6280481942172824,3.5422157560010215
dwarf,10000000000.0,0.5,full,3.0,300.0,40,2.0,0.17515513731740162,17.515513731740164,8.11226436770327
dwarf,10000000000.0,0.5,full,3.0,300.0,40,3.0,0.11677009154493442,11.677009154493442,8.11226436770327
dwarf,10000000000.0,0.5,full,3.0,300.0,40,5.0,0.07006205492696065,7.006205492696065,8.11226436770327
dwarf,10000000000.0,0.5,inner,3.0,30.0,20,2.0,0.15300739418520268,15.300739418520267,8.11226436770327
dwarf,10000000000.0,0.5,inner,3.0,30.0,20,3.0,0.1020049294568018,10.20049294568018,8.11226436770327
dwarf,10000000000.0,0.5,inner,3.0,30.0,20,5.0,0.06120295767408108,6.120295767408108,8.11226436770327
dwarf,10000000000.0,0.5,outer,30.0,300.0,20,2.0,0.08525291463247356,8.525291463247356,4.814447147910439
